question_id,question,gold_answer,required_answer_elements,answerable,primary_modality,source_pdf_pages,sections,tables,figures,normative_type,secondary_localization_burden,secondary_modality_integration_burden,secondary_reasoning_burden,secondary_answer_composition_burden,secondary_normative_precision_burden,secondary_answerability_subtype,secondary_notes
TB026,What crash modification factor for installing an ALL-WAY plaque is listed in Table 2B-1?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,table,109,2B.03,2B-1,,Not stated,,,,,,,
TB027,What RGB values are listed in Table 2A-2 for fluorescent yellow-green?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,table,85,2A.06,2A-2,,Not stated,,,,,,,
TB028,What VLM accuracy benchmark is reported in Table 5A-1 for recognizing traffic control devices?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,table,801,5A.03,5A-1,,Not stated,,,,,,,
TB029,Which table lists State-by-State monetary fines for violating a No Turn on Red sign?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,table,113,2B.60,2B-1,,Not stated,,,,,,,
TB030,What manufacturer warranty periods are listed in Table 2A-5 for each retroreflective sheeting type?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,table,104,2A.22,2A-5,,Not stated,,,,,,,
F001,"In Figure 1B-1, what happens immediately after FHWA approves a request to experiment?",The requesting jurisdiction installs the experimental traffic control device.,requesting jurisdiction installs experimental device,True,figure,48,1B.05,,1B-1,Support,,,,,,,
F002,"In Figure 1B-2, if a proposed change is accepted for Federal rulemaking, what process follows before a Final Rule is published?","FHWA develops provisions for a Notice of Proposed Amendments, publishes the notice in the Federal Register, holds a docket comment period, reviews comments, prepares the Final Rule, and publishes it.",develop provisions | publish notice in Federal Register | docket comment period | review comments | prepare Final Rule | publish Final Rule,True,figure,51,1B.06;1B.07,,1B-2,Support,,,,,,,
F003,What conspicuity treatment is labeled 'E' in Figure 2A-1?,A vertical retroreflective strip on the sign support.,vertical retroreflective strip | on sign support,True,figure,89,2A.11,,2A-1,Option,,,,,,,
F004,"In Figure 2A-2, what minimum mounting height and lateral offset are shown for a basic roadside sign in a rural area without a wider shoulder?",A 5-foot minimum mounting height and a 12-foot minimum lateral offset from the edge of the traveled way.,5-foot minimum height | 12-foot minimum offset,True,figure,92,2A.13;2A.15;2A.16,,2A-2,Standard/Guidance,,,,,,,
F005,"In the channelized-intersection example in Figure 2A-3, how far from the nose of the island is the YIELD sign shown?",At least 2 feet from the nose of the island.,2 feet minimum,True,figure,93,2A.13,,2A-3,Illustrative,,,,,,,
F006,"On the single-lane approach in Figure 2A-4, which warning sign is shown furthest upstream in the illustrated sequence?","The Cross Road warning sign, W2-1.",W2-1 | Cross Road warning sign,True,figure,94,2A.13,,2A-4,Illustrative,,,,,,,
F007,What visual feature distinguishes the 'separate intersections' case from the 'single intersection' case in Figure 2A-5?,"In the separate-intersections case, the paths of opposing left-turning vehicles cross; in the single-intersection case, those paths do not cross.",separate=opposing left-turn paths cross | single=paths do not cross,True,figure,105,2A.23,,2A-5,Guidance,,,,,,,
F008,"From Figure 2B-1, identify the shapes of the STOP and YIELD signs and the color scheme of the ALL-WAY plaque.",STOP is an octagon; YIELD is a downward-pointing equilateral triangle; the ALL-WAY plaque has white legend and border on a red background.,STOP octagon | YIELD downward triangle | ALL-WAY white on red,True,figure,115,2B.04;2B.05,,2B-1,Standard,,,,,,,
F009,Which sign is placed above the other in every paired assembly shown in Figure 2B-17?,The DO NOT ENTER sign is above the WRONG WAY sign.,DO NOT ENTER above WRONG WAY,True,figure,156,2B.48,,2B-17,Illustrative,,,,,,,
F010,"In the freeway or expressway lane-ends sequence in Figure 2C-13, which symbol sign is shown nearest the beginning of the lane-reduction taper?",The W4-2R Lane Ends symbol sign.,W4-2R | Lane Ends symbol,True,figure,226,2C.47,,2C-13,Illustrative,,,,,,,
F011,"In the unsignalized midblock-crosswalk example in Figure 3B-16, how far in advance of the crosswalk are the yield lines shown?",20 to 50 feet in advance of the crosswalk.,20 to 50 feet,True,figure,615,3B.19,,3B-16,Illustrative,,,,,,,
F012,What four crosswalk marking patterns are illustrated in Figure 3C-1?,"Transverse, longitudinal bar, ladder, and bar pair.",transverse | longitudinal bar | ladder | bar pair,True,figure,631,3C.03,,3C-1,Illustrative,,,,,,,
F013,Name two optional pavement-marking features explicitly labeled in Figure 3D-1 at the roundabout.,Optional diagonal markings in the splitter island and an optional wide dotted extension of the circulatory roadway edge line.,optional diagonal markings | optional wide dotted edge-line extension,True,figure,637,3D.01-3D.06,,3D-1,Option,,,,,,,
F014,"According to Figure 4D-2, what are the general minimum and maximum longitudinal distances from the stop line for the primary signal faces, absent the near-side supplemental-face exception?",At least 40 feet and no more than 180 feet beyond the stop line.,40 feet minimum | 180 feet maximum,True,figure,713,4D.07;4D.08,,4D-2,Standard,,,,,,,
F015,"What is the order of the pedestrian intervals shown in Figure 4I-4, and what minimum durations are labeled for the first and last intervals?","Walk interval, pedestrian change interval, then buffer interval. The walk interval is labeled 7 seconds minimum and the buffer interval 2 seconds minimum, subject to the stated walk-interval exception.",walk then change then buffer | walk 7 seconds minimum | buffer 2 seconds minimum | recognize stated exception,True,figure,765,4I.06,,4I-4,Standard/Illustrative,,,,,,,
F016,List the six states shown in the sequence for a pedestrian hybrid beacon in Figure 4J-3.,Dark until activated; flashing yellow upon activation; steady yellow; steady red during the pedestrian walk interval; alternating flashing red during the pedestrian change interval; dark again until activated.,dark | flashing yellow | steady yellow | steady red | alternating flashing red | dark again,True,figure,770,4J.03,,4J-3,Standard,,,,,,,
F017,"What four main areas of a temporary traffic control zone are shown in Figure 6B-1, in order of travel?","Advance warning area, transition area, activity area, and termination area.",advance warning | transition | activity | termination,True,figure,813,6B.03-6B.07,,6B-1,Support,,,,,,,
F018,"What relative lengths are shown in Figure 6B-2 for a merging taper, shifting taper, and shoulder taper?",Merging taper: L; shifting taper: 1/2 L; shoulder taper: 1/3 L.,merging=L | shifting=1/2 L | shoulder=1/3 L,True,figure,815,6B.08,,6B-2,Illustrative,,,,,,,
F019,"In Figure 6D-1, how is the preferred STOP/SLOW paddle positioned to stop traffic?",The flagger faces traffic and holds the STOP face toward road users with the paddle in a stationary position and the free arm raised with the palm toward traffic.,face traffic | STOP face toward traffic | paddle stationary | free arm raised/palm toward traffic,True,figure,825,6D.02;6D.05,,6D-1,Illustrative,,,,,,,
F020,Which channelizing device in Figure 6K-1 is illustrated with three horizontal striped rails?,The Type 3 barricade.,Type 3 barricade,True,figure,857,6K.01-6K.08,,6K-1,Illustrative,,,,,,,
F021,"In Figure 6L-3, which arrow-board mode is required in addition to at least one directional merge mode and at least one caution mode?",The flashing double arrow mode.,flashing double arrow,True,figure,875,6L.06,,6L-3,Standard,,,,,,,
F022,"In Figure 7B-2, what two alternatives are shown for signing the downstream end of the reduced school speed-limit zone?","An END SCHOOL SPEED LIMIT (S5-3) sign, or an END SCHOOL ZONE (S5-2) sign with a downstream Speed Limit (R2-1) sign shown as optional.",S5-3 END SCHOOL SPEED LIMIT | S5-2 END SCHOOL ZONE alternative | optional downstream R2-1,True,figure,1016,7B.05,,7B-2,Standard/Option,,,,,,,
F023,What is the principal layout difference between the pathway grade crossing and the sidewalk grade crossing in Figure 8E-1?,"The pathway crossing is on a separate pathway alignment outside the roadway, whereas the sidewalk crossing is part of the highway corridor alongside the roadway and crosses the tracks with the roadway.",pathway on separate alignment | sidewalk within highway corridor alongside roadway,True,figure,1076,8E.01;8E.02,,8E-1,Support,,,,,,,
F024,"In Figure 9E-12, what minimum distance separates the advance motor-vehicle stop line from the intersection stop line across the bicycle box?",10 feet minimum.,10 feet minimum,True,figure,1147,9E.12,,9E-12,Standard,,,,,,,
F025,What exact candela output is represented by each LED dot around the STOP sign in Figure 2A-1?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,figure,89,2A.11,,2A-1,Not stated,,,,,,,
F026,What foundation depth is required for the sign posts drawn in Figure 2A-2?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,figure,92,2A.13;2A.18,,2A-2,Not stated,,,,,,,
F027,How many milliseconds does each steady-yellow and steady-red stage last in Figure 4J-3?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,figure,770,4J.03,,4J-3,Not stated,,,,,,,
F028,How many workers are required inside the work space shown in Figure 6B-1?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,figure,813,6B.03;6B.06,,6B-1,Not stated,,,,,,,
F029,"What exact crossing angle, in degrees, is shown for the railroad tracks in Figure 8E-1?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,figure,1076,8E.01;8E.02,,8E-1,Not stated,,,,,,,
F030,What crash-reduction percentage is attributed to the bicycle box in Figure 9E-12?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,figure,1147,9E.12,,9E-12,Not stated,,,,,,,
M001,"A provision appears under a Guidance heading and uses the word 'should.' Is it mandatory, and when may a deviation be appropriate?","It is recommended practice, not a mandatory Standard. A deviation may be appropriate when engineering judgment or an engineering study indicates that the deviation is suitable for the specific situation.",recommended not mandatory | deviation allowed | engineering judgment or study basis,True,mixed,43;54,1A.04;1C.01,,,Guidance,,,,,,,
M002,"Using Figure 2A-1 and Section 2A.11, describe the requirements for a retroreflective strip used on a sign support to enhance conspicuity.","The strip must be at least 2 inches wide, extend from the sign down the full support to within 2 feet above the near edge of the roadway, match the sign background color except that YIELD and DO NOT ENTER strips are red, and contain no legend or other information.",at least 2 inches wide | from sign to within 2 feet above near roadway edge | color matches background except YIELD/DO NOT ENTER red | no legend/information,True,mixed,89;90,2A.11,,2A-1,Standard,,,,,,,
M003,"For a basic rural roadside sign, combine Figure 2A-2 with Sections 2A.15 and 2A.16 to state the normal minimum mounting height and lateral offset.","The minimum mounting height is 5 feet. The normal minimum lateral offset is 12 feet from the edge of the traveled way, or 6 feet from the edge of a shoulder wider than 6 feet.",5-foot height | 12 feet from traveled way | or 6 feet from edge of shoulder wider than 6 feet,True,mixed,92;99;101,2A.15;2A.16,,2A-2,Standard/Guidance,,,,,,,
M004,"A portable CMS designer proposes 'DLY' to mean DELAY. Using Section 1D.08 and Table 1D-3, is this acceptable and why?",No. DLY is explicitly prohibited because it can be misinterpreted as DAILY.,not acceptable | explicitly prohibited | misread as DAILY,True,mixed,75;78,1D.08,1D-3,,Standard,,,,,,,
M005,"At an all-way stop, what plaque arrangement and appearance are required by Section 2B.04 and Figure 2B-1, and may a 4-WAY plaque be substituted?",An ALL-WAY (R1-3P) plaque must be mounted below each STOP sign. It has a white legend and border on a red background. A 4-WAY or other numeric-way plaque may not be substituted.,ALL-WAY below each STOP | white legend/border on red | 4-WAY substitution prohibited,True,mixed,115,2B.04,,2B-1,Standard,,,,,,,
M006,Compare the quantitative triggers in the four-leg All-Way Stop crash warrant and the 8-hour volume warrant.,"The crash warrant may apply with at least 5 correctable crashes in 12 months or 6 in 36 months. The volume warrant may apply when, for the same 8 hours, major-street entering volume is at least 300 units/hour and minor-street entering volume at least 200 units/hour, with a possible 70-percent adjustment if major-street 85th-percentile speed exceeds 40 mph.",5 crashes/12 months or 6/36 months | 300 major and 200 minor units/hour | same 8 hours | 70% high-speed adjustment,True,mixed,120,2B.13;2B.16,,,Option,,,,,,,
M007,"If an agency is using an approved retroreflectivity-management method but a few individual signs temporarily fall below Table 2A-5, is the agency automatically out of compliance? Include the white-on-red thresholds relevant to STOP-type signs.","Not automatically. The agency complies by having and using a method designed to maintain the minimums, even if some individual signs fall below them at a particular moment. For white on red, the table gives white at least 35, red at least 7 cd/lx/m², and at least a 3:1 white-to-red contrast ratio.",not automatically noncompliant | method must be in place and used | white>=35 | red>=7 | contrast>=3:1,True,mixed,103;104,2A.22,2A-5,,Standard/Support,,,,,,,
M008,"On a multi-lane roadway posted at 35 mph, may the single-lane regulatory-sign size be used, and what size must a STOP sign still use?","For regulatory signs other than STOP, the single-lane size may be used at 35 mph or less. The STOP-sign exception remains: the multi-lane STOP size is 36 x 36 inches.",single-lane size allowed for non-STOP signs at <=35 mph | STOP excluded | STOP 36x36 inches,True,mixed,108;109,2B.03,2B-1,,Option/Standard,,,,,,,
M009,"For a potential stop condition on a 55-mph approach, what advance placement distance is shown in Table 2C-3, and should it be treated as an inflexible mandatory distance?","The table shows 495 feet. It is a guideline to be applied with engineering judgment and may be adjusted for roadway features, other signing, and visibility; it is not an inflexible universal mandate.",495 feet | guideline | engineering judgment | may be adjusted,True,mixed,193,2C.04,2C-3,,Guidance,,,,,,,
M010,"For a curve with an advisory speed of 40 mph and a radius within 401 to 700 feet, what Chevron Alignment sign spacing and placement are indicated?","Typical spacing is 120 feet. The signs must be on the outside of the curve, approximately at right angles to approaching traffic, with a minimum mounting height of 4 feet.",120-foot spacing | outside of curve | right angle to approaching traffic | 4-foot minimum height,True,mixed,199,2C.08,2C-5,,Standard/Guidance,,,,,,,
M011,"At a 55-mph curve, when must a no-passing zone be marked, and what happens if the next no-passing zone begins less than 400 feet later?","The no-passing zone must be marked when available passing sight distance is less than 900 feet. If successive no-passing zones are separated by less than 400 feet, the markings should connect them.",sight distance below 900 feet | marking required | connect if gap under 400 feet,True,mixed,584,3B.03,3B-1,,Standard/Guidance,,,,,,,
M012,"For Warrant 1 Condition A with at least two major-street lanes and one minor-street lane, what volumes must exist and over what time basis, and does meeting them compel signal installation?","For each of the same 8 selected hours, 600 vph must exist on the major street (both approaches total) and 150 vph on the critical minor approach (one direction) at the 100-percent thresholds. Meeting the warrant does not compel installation; an engineering study must determine whether a signal is justified.",600 major vph | 150 minor vph | same 8 hours | does not compel installation | engineering study,True,mixed,694,4C.01;4C.02,4C-1,,Guidance/Standard,,,,,,,
M013,"For a four-leg intersection evaluated under the one-year Crash Experience signal warrant, what crash thresholds apply and what two additional categories of conditions must also be satisfied?","The thresholds are at least 5 all-severity angle/pedestrian crashes or at least 3 fatal-and-injury angle/pedestrian crashes. In addition, an adequate trial of alternatives must have failed, and the applicable 80-percent vehicular-volume or pedestrian-volume condition must be met for the required hours.",5 all-severity or 3 fatal/injury | alternatives tried and failed | 80% volume/pedestrian condition,True,mixed,702,4C.08,4C-2;4C-1,,Guidance,,,,,,,
M014,"At an 85th-percentile approach speed of 45 mph, from how far in advance should the two primary signal faces be continuously visible, and what treatment is recommended if that view is unavailable?","They should be continuously visible from at least 460 feet in advance of the stop line. If at least two faces are not continuously visible for that distance, a warning sign should be installed for approaching traffic.",460 feet | two primary faces | warning sign if visibility unavailable,True,mixed,711,4D.06,4D-2,,Guidance,,,,,,,
M015,"Using Section 4I.06 and Figure 4I-4, describe the pedestrian interval order, minimum buffer interval, and walking speed normally used for clearance timing.","The order is WALK, flashing DONT WALK pedestrian change interval, then steady DONT WALK buffer interval. The buffer interval is at least 2 seconds before conflicting traffic is released, and clearance is normally evaluated using 3.5 feet per second.",walk then change then buffer | buffer >=2 seconds | 3.5 ft/s,True,mixed,764;765,4I.06,,4I-4,Standard/Guidance,,,,,,,
M016,"Using Section 4J.03 and Figure 4J-3, give the full pedestrian-hybrid-beacon sequence and identify which stage corresponds to the pedestrian walk interval.","Dark, flashing yellow, steady yellow, both steady red, alternating flashing red, then dark. The both-steady-red stage corresponds to the pedestrian walk interval.",ordered six-stage sequence | steady red is walk interval,True,mixed,770,4J.03,,4J-3,Standard,,,,,,,
M017,"Using the definition of ADS and Table 5A-1, explain why Level 2 is not an ADS level while Level 3 is.","An ADS performs the entire dynamic driving task on a sustained basis and the term applies to Levels 3-5. Level 2 performs steering and acceleration/deceleration but still expects the human to perform all remaining aspects of the task, so it is ADAS rather than ADS. Level 3 performs all aspects within its ODD, subject to a human fallback request.",ADS term applies to Levels 3-5 | Level 2 human performs remaining DDT | Level 2 is ADAS | Level 3 ADS performs full DDT within ODD,True,mixed,801,5A.03,5A-1,,Support,,,,,,,
M018,"Using Figure 6B-1 and Section 6B.06, list the main TTC-zone areas in travel order and identify the three components of the activity area.","Advance warning, transition, activity, and termination. The activity area consists of the work space, traffic space, and buffer space.",advance warning | transition | activity | termination | work space | traffic space | buffer space,True,mixed,813;814,6B.03;6B.06,,6B-1,Support,,,,,,,
M019,"For a 12-foot lateral offset and a 35-mph speed, calculate L using Table 6B-4. Then state the minimum merging, shifting, and shoulder taper lengths from Table 6B-3.","For 40 mph or less, L = W*S²/60 = 12*35²/60 = 245 feet. Minimum merging taper: 245 feet; shifting taper: 122.5 feet; shoulder taper: about 80.9 feet (0.33L, commonly rounded appropriately in design).",L=245 feet | merging=245 feet | shifting=122.5 feet | shoulder approximately 80.9 feet,True,mixed,816,6B.08,6B-3;6B-4,,Guidance,,,,,,,
M020,"Using Section 6D.02 and Figure 6D-1, which hand-signaling device is preferred, and how should it be displayed to stop traffic?","The STOP/SLOW paddle is the primary and preferred device. To stop traffic, the flagger faces traffic, displays the STOP face in a stationary position, and raises the free arm with the palm toward traffic.",STOP/SLOW paddle preferred | face traffic | STOP face stationary | free arm/palm toward traffic,True,mixed,824;825,6D.02;6D.05,,6D-1,Guidance,,,,,,,
M021,"For a Type C arrow board in Figure 6L-3, state its minimum size, legibility distance, minimum number of elements, and required categories of display modes.","Minimum size 96 x 48 inches, minimum legibility distance 1 mile, and at least 15 elements. It must provide at least one directional merge mode, the flashing double-arrow mode, and at least one caution mode.",96x48 inches | 1 mile | 15 elements | at least one directional mode | flashing double arrow | at least one caution mode,True,mixed,875,6L.06,,6L-3,Standard,,,,,,,
M022,"Using Section 7B.05 and Figure 7B-2, describe the required sign sequence for entering and leaving a reduced school speed-limit zone.","Approaching traffic first encounters an advance School (S1-1) sign, then the School Speed Limit assembly or S5-1 at the beginning of the reduced zone. The downstream end is normally marked by S5-3 END SCHOOL SPEED LIMIT; S5-2 END SCHOOL ZONE may be used when both zones end together, with a downstream R2-1 optionally mounted.",advance S1-1 | school speed sign at zone beginning | S5-3 normal end | S5-2 alternative when zones end together | optional downstream R2-1,True,mixed,1016;1019,7B.05,,7B-2,Standard/Option,,,,,,,
M023,"Using Section 8B.03 and Figure 8B-2, describe the vertical order of a passive-crossing assembly with multiple tracks and a YIELD or STOP sign, and state when the Number of Tracks plaque is required.","The Crossbuck is at the top, the inverted-T Number of Tracks plaque is directly below it, and the YIELD or STOP sign is below the plaque on the support. The Number of Tracks plaque is required when two or more tracks are present.",Crossbuck top | Number of Tracks plaque below Crossbuck | YIELD/STOP below plaque | plaque required for 2+ tracks,True,mixed,1034;1038,8B.03;8B.04,,8B-2,Standard,,,,,,,
M024,"Using Section 9E.12 and Figure 9E-12, state the minimum bicycle-box length, required pavement symbol, turn-on-red rule, and green-pavement coverage rule.","The bicycle box must be at least 10 feet long, include at least one bicycle symbol, prohibit turns on red from its lane, and, if green pavement is used, fill the entire limits of the box.",10-foot minimum | at least one bicycle symbol | turns on red prohibited | green covers full box,True,mixed,1146;1147,9E.12,,9E-12,Standard,,,,,,,
M025,"Using the arrow-board specifications and related text, what is the exact purchase, installation, and annual maintenance cost of a Type C arrow board?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,mixed,875,6L.06,,6L-3,Not stated,,,,,,,
M026,"For every State, which specific MUTCD provisions have been adopted without modification and what fine applies to each violation?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,mixed,45,1B.02,,,Not stated,,,,,,,
M027,"Which vision-language model, embedding model, and vector database does Part 5 recommend for automated-vehicle traffic-control-device recognition?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,mixed,800;801,5A.01-5A.04,5A-1,,Not stated,,,,,,,
M028,"What were the sample size, participant demographics, and statistical significance values of the human-factors study underlying each treatment in Figure 2A-1?",The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,mixed,89;90,2A.11,,2A-1,Not stated,,,,,,,
M029,What proprietary pavement-material brand and product number were used to create the colored pavement examples in Chapter 3H?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,mixed,663;671,3H.01-3H.08,,,Not stated,,,,,,,
M030,What exact dollar penalty and criminal classification apply when an agency violates a MUTCD Standard?,The MUTCD does not specify this information. A correct response should state that the requested value or requirement cannot be determined from the manual rather than inventing an answer.,explicit abstention | states information is not specified in the MUTCD,False,mixed,45;72,1B.01;1D.02,,,Not stated,,,,,,,
